,amount,entry_date,entry_price,current_price,qty,stop_loss,next_stop_loss,pl
GL,600.0,2024-04-12,59.09,106.26,10.0,100.73994576698274,107.46002711650863,471.70000000000005
UBER,600.0,2024-08-06,64.87,73.94,9.0,67.43623132977832,75.37688433511084,81.63
