date,rvol,tic
2024-08-15,0.8436128141048731,GLBE
2024-08-15,0.2987732137772291,GLBE
2024-08-30,0.2280920895629794,INTC
2024-08-30,0.5051426887143384,INTC
2024-08-08,0.7301513033573216,FOUR
2024-08-08,0.9665224459193792,APLS
2024-08-15,0.12843032161218262,FIVE
2024-08-15,1.6666313108934725,FIVE
2024-12-05,0.2412253480572985,FIVE
2024-11-06,1.5524056296754023,HUM
2024-10-25,0.2569935549320469,CNC
2024-08-15,0.39641252980448327,LITE
2024-12-04,0.15818295448145078,AMN
2024-08-30,0.8317857437609374,MDB
2024-07-08,0.33344011897519155,SEDG
2024-07-08,0.17306391575030747,SEDG
2024-07-22,0.7869748068584247,SEDG
2024-08-07,1.5224959190143712,SEDG
2024-08-07,1.585010597805201,SEDG
2024-08-26,0.3956677172086267,SEDG
2024-11-25,0.36106454081062567,SEDG
2024-11-25,0.3211480413234988,SEDG
2024-08-07,0.8604154677904641,AFRM
2024-08-23,0.5913283215906514,WDAY
2024-04-26,0.48626881757198437,PINS
2024-08-12,0.4986767435056262,MNDY
2024-08-08,0.22046202616550298,LSCC
2024-08-07,0.5125506692558438,SHOP
2024-08-07,0.5794231398805111,SHOP
2024-04-12,0.09627479252682183,GL
2024-08-12,0.5105137482200383,COHR
2024-08-12,0.6538169664047379,COHR
2024-11-06,0.2839055012064225,OLN
2024-09-04,0.6203732332586221,GTLB
2024-12-02,0.32275426533710916,NET
2024-08-06,0.7663809287978581,CELH
2024-05-02,1.1886686323754385,CVNA
2025-01-06,0.2780516213044981,CVNA
2024-08-15,0.5072124394397374,TPR
2024-08-15,0.377380262577445,W
2024-03-04,0.8779072169723922,DJT
2024-04-17,1.8967758709162177,DJT
2024-06-24,0.2948443831660982,DJT
2024-09-25,0.49361665954228023,DJT
2025-01-29,0.43909804314333484,DJT
2024-08-08,0.9477768390049256,AZEK
2024-08-08,0.2368078295503829,AZEK
2024-12-20,0.24753984996731326,VKTX
2024-10-31,0.24211297820981284,RBLX
2024-08-08,0.8103174463757616,LLY
2024-05-23,0.5641984808589916,SMCI
2024-11-18,0.216559173797573,SMCI
2024-11-18,0.4309356411070506,SMCI
2024-11-18,0.5750447526315139,SMCI
2024-11-18,0.593002905003135,SMCI
2024-11-18,1.1330855535956779,SMCI
2024-11-18,0.928990858734426,SMCI
2024-08-14,0.5199247053682843,DKNG
2024-08-23,0.9766448608605672,CAVA
2025-01-15,0.38091291109192077,LEN
2024-07-15,0.7291851730479519,COIN
2024-08-29,0.4766373636851257,NTNX
2024-08-06,0.6102175759716637,UBER
2024-05-03,0.6126365255061769,MSTR
2024-07-11,0.780457278164737,MSTR
2024-07-11,0.6574813686827691,MSTR
2024-07-31,0.4912065703191768,APH
2024-11-08,0.13577653494424435,CVI
2024-06-12,0.16391831898611534,CNM
2024-08-30,0.8130979355023864,MRVL
2024-08-06,0.20693235341680102,MBLY
2024-08-06,1.0886069595523948,MBLY
2024-11-07,0.8293134458650974,VTLE
2024-07-31,0.7558022192765342,PSTG
2024-11-26,0.13275386262482552,EXAS
2024-05-03,0.26760274364398123,XPO
2024-08-08,0.6598304607490084,DDOG
2024-08-28,0.7400688216166968,SMTC
2024-11-06,0.19563948817266139,ATI
2024-08-23,0.49392360638318417,CCJ
2025-01-30,0.2814395966528621,AVGO
