name
CIEN
TDC
GLBE
CPRI
AWK
SJM
CHRW
BSY
INTC
FOUR
ZTS
VOYA
ST
WEC
LVS
WHR
LULU
APLS
FMC
WTRG
BA
QGEN
SMPL
XRAY
CSCO
INCY
OLLI
LNG
PNM
LNT
